obs_angvel_0,obs_angvel_1,obs_angvel_2,obs_gravity_0,obs_gravity_1,obs_gravity_2,obs_command_0,obs_command_1,obs_command_2,obs_dofpos_0,obs_dofpos_1,obs_dofpos_2,obs_dofpos_3,obs_dofpos_4,obs_dofpos_5,obs_dofpos_6,obs_dofpos_7,obs_dofpos_8,obs_dofpos_9,obs_dofpos_10,obs_dofpos_11,obs_dofpos_12,obs_dofpos_13,obs_dofpos_14,obs_dofpos_15,obs_dofvel_0,obs_dofvel_1,obs_dofvel_2,obs_dofvel_3,obs_dofvel_4,obs_dofvel_5,obs_dofvel_6,obs_dofvel_7,obs_dofvel_8,obs_dofvel_9,obs_dofvel_10,obs_dofvel_11,obs_dofvel_12,obs_dofvel_13,obs_dofvel_14,obs_dofvel_15,obs_action_0,obs_action_1,obs_action_2,obs_action_3,obs_action_4,obs_action_5,obs_action_6,obs_action_7,obs_action_8,obs_action_9,obs_action_10,obs_action_11,obs_action_12,obs_action_13,obs_action_14,obs_action_15,
0.000416138,0.000103443,-0.000142079,0,0,-1,0,0,0,-0.00295691,0.766627,-1.64992,1.26997,0.0019521,0.767145,-1.64964,1.19912,-0.00216813,-0.767033,1.65216,-1.2119,0.00284418,-0.765429,1.65275,-1.29285,0.000180713,-0.0145189,0.00895592,-0.00574061,0.000472903,-0.00569299,-0.00442608,-0.00942969,-0.000192024,0.00213098,0.00379447,-0.0584833,0.000301033,0.0142953,-0.00708814,-0.0822884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-0.000629623,0.000362188,-0.00153803,0,0,-1,0,0,0,-0.00294903,0.766526,-1.64993,1.26994,0.00195919,0.767046,-1.64969,1.19913,-0.00218293,-0.767008,1.65222,-1.21256,0.00283114,-0.765312,1.65274,-1.29377,0.0032911,-8.84689e-05,-0.0178572,0.00549842,0.00266235,-0.0147096,-0.0048717,0.0210475,-0.00111025,0.00219947,0.00562557,-0.0623285,-0.00228616,0.0213237,-0.0298197,-0.0635364,-0.161596,0.336385,0.690393,-0.695933,0.408559,0.145701,0.648594,-0.254091,-0.0374607,-0.389917,-0.921993,0.126536,0.159906,-0.301861,-0.69812,0.173162,
-0.328816,0.0539217,-0.0164629,0,0,-1,0,0,0,-0.00204579,0.766612,-1.65016,1.26936,0.00292052,0.766564,-1.64939,1.19927,-0.00137569,-0.767188,1.6521,-1.21236,0.00364584,-0.765242,1.65201,-1.29331,0.343866,0.0525603,-0.101006,-0.215581,0.345127,-0.166478,0.127427,0.0139654,0.311509,-0.0824163,-0.0414053,0.177977,0.311676,-0.00333718,-0.269036,0.336462,-0.143634,0.226795,0.506801,-0.666999,0.417287,0.0100927,0.697824,-0.495289,-0.11922,-0.274221,-0.781394,0.220969,0.158096,-0.346427,-0.961647,0.0731747,
-0.635065,0.140654,-0.0322905,0,0,-1,0,0,0,0.00229968,0.767232,-1.65121,1.26561,0.00759414,0.76446,-1.64752,1.19881,0.00290147,-0.768292,1.65119,-1.20921,0.00758219,-0.765429,1.6482,-1.28778,0.652535,0.0942108,-0.145676,-0.636466,0.661703,-0.315739,0.275609,-0.16223,0.603733,-0.179844,-0.189285,0.592121,0.590622,-0.0440604,-0.626156,0.960201,-0.168758,0.254078,0.558345,-0.645573,0.391382,0.0501759,0.640182,-0.496535,-0.0647659,-0.302262,-0.802192,0.255233,0.0857563,-0.341525,-0.861324,0.0436995,
-0.593686,0.198213,-0.0380781,0,0,-1,0,0,0,0.00838622,0.768059,-1.65231,1.25853,0.0133214,0.761431,-1.64499,1.19584,0.00809598,-0.770178,1.64846,-1.20173,0.0130246,-0.766097,1.64141,-1.2768,0.632069,0.0769996,-0.0749747,-0.99809,0.628022,-0.325896,0.299244,-0.508339,0.560192,-0.227385,-0.407117,1.04589,0.55515,-0.109253,-0.82875,1.42186,-0.15236,0.254133,0.598871,-0.639861,0.344734,0.0848953,0.566435,-0.471456,-0.0340816,-0.319895,-0.793181,0.209877,0.0108927,-0.312029,-0.700902,0.0152155,
-0.419438,0.224985,-0.0444417,0,0,-1,0,0,0,0.0130796,0.768547,-1.65252,1.24954,0.0179798,0.7589,-1.64275,1.19013,0.012124,-0.772064,1.64416,-1.19183,0.0170069,-0.767359,1.63402,-1.26332,0.470127,0.0389017,0.0281898,-1.23814,0.466561,-0.275395,0.276155,-0.81684,0.386713,-0.241889,-0.584704,1.40037,0.381932,-0.181164,-0.888767,1.71059,-0.133833,0.255504,0.605273,-0.669084,0.315298,0.0917521,0.522289,-0.456623,-0.000311744,-0.319301,-0.746238,0.132452,-0.0167324,-0.293354,-0.597454,-0.0232406,
-0.287941,0.228644,-0.0476989,0,0,-1,0,0,0,0.0162764,0.768749,-1.65175,1.23792,0.0211504,0.756916,-1.64052,1.18259,0.0146238,-0.774197,1.63909,-1.17871,0.0194732,-0.769021,1.62684,-1.24885,0.349508,0.019172,0.135516,-1.46769,0.346636,-0.225314,0.26124,-1.0493,0.260466,-0.24793,-0.679056,1.64399,0.25662,-0.224109,-0.901936,1.87607,-0.11435,0.25094,0.583824,-0.69294,0.310899,0.0896755,0.511487,-0.437816,0.0306476,-0.313262,-0.691438,0.0681423,-0.0229013,-0.271762,-0.531644,-0.0470474,
-0.217302,0.213315,-0.0464909,0,0,-1,0,0,0,0.0189026,0.768915,-1.65037,1.22487,0.023762,0.755221,-1.63823,1.17264,0.0165118,-0.77632,1.63312,-1.16408,0.0213272,-0.771045,1.61922,-1.23241,0.286254,0.0139739,0.202991,-1.59836,0.283779,-0.176303,0.28182,-1.27409,0.20106,-0.253467,-0.715109,1.78834,0.196839,-0.245551,-0.888052,1.97496,-0.101144,0.246337,0.556205,-0.697523,0.309705,0.0936326,0.506904,-0.407918,0.0553438,-0.303802,-0.643564,0.0316814,-0.0229318,-0.253881,-0.485493,-0.0459009,
-0.183983,0.188645,-0.042897,0,0,-1,0,0,0,0.0209098,0.769007,-1.64856,1.21242,0.0257573,0.754095,-1.63602,1.16232,0.0179188,-0.778263,1.62775,-1.15021,0.0227057,-0.77295,1.61273,-1.21741,0.255614,0.0159893,0.268913,-1.71604,0.254059,-0.125672,0.308259,-1.46749,0.178571,-0.264446,-0.711831,1.89781,0.176084,-0.270073,-0.816904,1.99202,-0.0929297,0.243656,0.536187,-0.691612,0.304252,0.103307,0.497451,-0.378004,0.0703908,-0.295442,-0.609812,0.0160524,-0.0230768,-0.240095,-0.448535,-0.032516,
-0.149923,0.157101,-0.0418912,0,0,-1,0,0,0,0.0228435,0.769218,-1.64617,1.19809,0.0276743,0.75335,-1.63346,1.14971,0.0192386,-0.780428,1.62216,-1.13465,0.0239218,-0.775039,1.60665,-1.20144,0.228351,0.0367007,0.326107,-1.86002,0.225128,-0.0596262,0.322973,-1.67091,0.152166,-0.275302,-0.683677,1.98284,0.150528,-0.261372,-0.786704,1.99022,-0.0912144,0.24137,0.517598,-0.676611,0.296346,0.114326,0.487037,-0.353977,0.077606,-0.284613,-0.585057,0.0189778,-0.0239639,-0.232336,-0.42901,-0.0157734,
-0.105702,0.120286,-0.0370741,0,0,-1,0,0,0,0.0245103,0.769629,-1.64335,1.18266,0.0293132,0.753162,-1.63072,1.13482,0.0203272,-0.782689,1.61694,-1.11866,0.0250589,-0.777181,1.60037,-1.18566,0.189437,0.0641046,0.374744,-1.9866,0.185472,0.00812631,0.333452,-1.83508,0.121039,-0.282116,-0.632837,2.00385,0.117895,-0.270035,-0.699043,1.95743,-0.091108,0.234926,0.496008,-0.65492,0.28752,0.124823,0.475288,-0.332722,0.0836993,-0.273864,-0.562046,0.030004,-0.0258959,-0.225703,-0.409048,0.00106713,
-0.0585331,0.0849978,-0.0309219,0,0,-1,0,0,0,0.0258868,0.770318,-1.63997,1.16521,0.0306658,0.753537,-1.62804,1.11944,0.0211826,-0.785067,1.61177,-1.10164,0.0258925,-0.779578,1.59495,-1.16922,0.137356,0.0962121,0.417906,-2.1115,0.135281,0.0830266,0.33533,-2.0027,0.0822203,-0.277866,-0.584395,1.99423,0.0802201,-0.288636,-0.592783,1.92568,-0.0947556,0.228501,0.475928,-0.628483,0.279877,0.136575,0.466031,-0.312832,0.0873558,-0.259719,-0.539371,0.0503609,-0.0264094,-0.221025,-0.399411,0.0186751,
-0.0144197,0.0481913,-0.0231469,0,0,-1,0,0,0,0.0268217,0.771296,-1.63629,1.14678,0.0315902,0.754647,-1.6253,1.10176,0.0217222,-0.787433,1.60708,-1.08481,0.0264158,-0.782155,1.59047,-1.153,0.0884659,0.133377,0.441356,-2.21206,0.0868497,0.166804,0.317616,-2.14309,0.0484243,-0.27668,-0.525053,1.96322,0.0467681,-0.310739,-0.482292,1.90063,-0.0994899,0.218762,0.452522,-0.594759,0.273908,0.145685,0.45994,-0.294807,0.0906232,-0.243316,-0.515567,0.0753658,-0.0274256,-0.21485,-0.39631,0.032363,
0.0210636,0.0130369,-0.0136963,0,0,-1,0,0,0,0.0273957,0.772602,-1.63267,1.1281,0.0321333,0.756392,-1.62264,1.08299,0.0220053,-0.789826,1.60287,-1.06863,0.0266911,-0.784917,1.58689,-1.13699,0.0446213,0.156477,0.406028,-2.11174,0.0451414,0.238618,0.310608,-2.26674,0.0227101,-0.27468,-0.435061,1.8517,0.0213409,-0.335576,-0.367655,1.8678,-0.105769,0.20729,0.430777,-0.559602,0.269657,0.150095,0.456364,-0.279536,0.0934052,-0.22465,-0.493868,0.0997167,-0.026924,-0.207766,-0.400429,0.0404488,
0.0414929,-0.0164297,-0.00583081,0,0,-1,0,0,0,0.0276092,0.773805,-1.62949,1.11201,0.0323632,0.758565,-1.62016,1.06438,0.0221152,-0.791981,1.59986,-1.05428,0.0267936,-0.787665,1.58436,-1.12221,0.0168237,0.142697,0.395327,-1.92885,0.0161596,0.299825,0.3096,-2.37659,0.00781419,-0.263322,-0.371611,1.7377,0.00686853,-0.348608,-0.273935,1.82408,-0.111038,0.197078,0.41752,-0.527023,0.269506,0.151882,0.457661,-0.26902,0.0908471,-0.207921,-0.483817,0.122023,-0.0239408,-0.197756,-0.408093,0.0448052,
0.0521747,-0.0420085,-0.00018064,0,0,-1,0,0,0,0.0276515,0.774966,-1.62612,1.09623,0.032402,0.761373,-1.61753,1.04372,0.0221414,-0.794177,1.59705,-1.0401,0.0268115,-0.79066,1.58243,-1.10697,-0.00354159,0.133839,0.397158,-1.79737,-0.00410771,0.355298,0.308935,-2.47366,-0.00109814,-0.252202,-0.296903,1.60433,-0.00208963,-0.354134,-0.188125,1.75915,-0.116064,0.191114,0.405287,-0.501599,0.266987,0.149362,0.456508,-0.260455,0.0903139,-0.1929,-0.477056,0.138035,-0.0221525,-0.187785,-0.415823,0.0440165,
0.0568693,-0.0627092,0.00386194,0,0,-1,0,0,0,0.027566,0.776055,-1.62298,1.08225,0.0323117,0.764437,-1.6152,1.02385,0.022102,-0.796149,1.59496,-1.02782,0.0267692,-0.793491,1.58122,-1.0932,-0.015714,0.138998,0.386791,-1.70591,-0.0168804,0.399051,0.26085,-2.427,-0.00668697,-0.23926,-0.229962,1.46717,-0.00699858,-0.351705,-0.120492,1.68098,-0.119602,0.183959,0.39321,-0.472299,0.263376,0.145671,0.453771,-0.249906,0.0905006,-0.174234,-0.469907,0.15649,-0.0211163,-0.173822,-0.420344,0.0458243,
0.0501054,-0.0822428,0.00792243,0,0,-1,0,0,0,0.0274144,0.777211,-1.61995,1.06894,0.0321635,0.767799,-1.61325,1.00558,0.0220557,-0.798109,1.59331,-1.01669,0.0267233,-0.79645,1.58059,-1.08031,-0.0171952,0.148969,0.371726,-1.62788,-0.0181849,0.379282,0.235328,-2.18527,-0.0020737,-0.221755,-0.163458,1.3198,-0.00418073,-0.337875,-0.0183629,1.48291,-0.124822,0.175108,0.385404,-0.446705,0.261145,0.139752,0.455403,-0.242295,0.0897909,-0.15714,-0.4636,0.169884,-0.0178435,-0.161217,-0.431362,0.0421759,
0.0361082,-0.093978,0.0110266,0,0,-1,0,0,0,0.0272937,0.778534,-1.6169,1.05546,0.0320313,0.770714,-1.61131,0.987789,0.0220813,-0.799805,1.59224,-1.00619,0.0267453,-0.798816,1.58046,-1.069,-0.0129294,0.16059,0.347459,-1.54628,-0.0133819,0.353262,0.24642,-2.01967,0.00762207,-0.201717,-0.11106,1.15506,0.00787573,-0.275652,0.0233217,1.16835,-0.132678,0.16472,0.376203,-0.418211,0.258429,0.14033,0.459827,-0.235859,0.0858277,-0.139489,-0.456056,0.189518,-0.0122854,-0.155445,-0.45576,0.0383544,
0.0276139,-0.09898,0.0126845,0,0,-1,0,0,0,0.0272166,0.779609,-1.61488,1.04561,0.0319574,0.772966,-1.6097,0.97595,0.022147,-0.801064,1.59164,-0.999107,0.0268092,-0.800375,1.58058,-1.06263,-0.0121984,0.168336,0.327058,-1.48569,-0.0126046,0.342033,0.246909,-1.93827,0.0108799,-0.185293,-0.0761882,1.03153,0.0106528,-0.214107,0.0225454,0.972757,-0.135829,0.156215,0.368447,-0.390759,0.25363,0.143013,0.459287,-0.231616,0.0819047,-0.125566,-0.451576,0.211485,-0.0101021,-0.15498,-0.470701,0.0402593,
0.025554,-0.100594,0.0139601,0,0,-1,0,0,0,0.0270937,0.781076,-1.61224,1.03333,0.0318237,0.77585,-1.60776,0.959848,0.0222213,-0.802457,1.59118,-0.991477,0.0268785,-0.80186,1.58082,-1.05544,-0.0196515,0.176091,0.296428,-1.40905,-0.0201701,0.338454,0.237236,-1.86045,0.00515049,-0.164211,-0.0429952,0.886025,0.00521364,-0.163521,0.0363485,0.743416,-0.135603,0.150767,0.365722,-0.373871,0.2497,0.142077,0.456608,-0.231144,0.080318,-0.116493,-0.451601,0.223623,-0.0102516,-0.154486,-0.474231,0.0408064,
0.0283994,-0.0984865,0.014516,0,0,-1,0,0,0,0.0268726,0.782512,-1.60987,1.02235,0.0315988,0.778562,-1.60581,0.944286,0.0222182,-0.803766,1.59095,-0.984573,0.0268751,-0.803076,1.58119,-1.0499,-0.0321952,0.181559,0.263912,-1.33934,-0.0325668,0.33964,0.220512,-1.8065,-0.00587236,-0.1447,-0.0150833,0.747819,-0.00618005,-0.127524,0.0485592,0.578466,-0.135729,0.143386,0.362867,-0.360358,0.245995,0.138757,0.456229,-0.231898,0.0783209,-0.106667,-0.451575,0.233316,-0.00972258,-0.155858,-0.479494,0.0417665,
0.031311,-0.092695,0.0140768,0,0,-1,0,0,0,0.0265669,0.783982,-1.60778,1.01192,0.0312685,0.781453,-1.60403,0.929129,0.0221151,-0.804734,1.59092,-0.979813,0.0267758,-0.804044,1.58163,-1.04555,-0.0433961,0.184772,0.229855,-1.27116,-0.0442499,0.339955,0.200684,-1.76215,-0.0181748,-0.0838932,0.0119717,0.437515,-0.0179587,-0.102881,0.0537524,0.457753,-0.134839,0.136425,0.36189,-0.34926,0.243444,0.133157,0.456901,-0.232478,0.0761916,-0.0989721,-0.453123,0.239924,-0.00851855,-0.154072,-0.481971,0.0433976,
0.0337035,-0.0839031,0.0138036,0,0,-1,0,0,0,0.0261487,0.785559,-1.60607,1.00142,0.0308423,0.784163,-1.6025,0.915197,0.0218943,-0.805122,1.59102,-0.977488,0.0265721,-0.804789,1.58206,-1.04228,-0.0546696,0.185666,0.197759,-1.20539,-0.0553695,0.336732,0.182258,-1.72235,-0.0305094,-0.0202701,0.0149307,0.127244,-0.0296207,-0.0850153,0.0519213,0.369223,-0.132642,0.133502,0.367251,-0.342311,0.240678,0.12721,0.457686,-0.231193,0.0719898,-0.101701,-0.462327,0.249075,-0.00622467,-0.14821,-0.482282,0.0528876,
0.0361747,-0.072715,0.0138082,0,0,-1,0,0,0,0.0256361,0.787137,-1.60454,0.991415,0.0303556,0.786998,-1.60103,0.900731,0.021605,-0.805059,1.59113,-0.9775,0.0262716,-0.805446,1.58247,-1.03948,-0.0659805,0.185319,0.163849,-1.15196,-0.0660141,0.32972,0.163633,-1.68214,-0.0414663,0.028057,0.0114951,-0.100738,-0.0409311,-0.0710346,0.0441333,0.296592,-0.12969,0.131742,0.37472,-0.338413,0.237229,0.120003,0.456601,-0.23187,0.0676754,-0.107496,-0.472387,0.258007,-0.00516843,-0.143448,-0.483105,0.0622316,
0.0380719,-0.0613397,0.0138294,0,0,-1,0,0,0,0.0250685,0.788611,-1.60336,0.982377,0.0297876,0.789594,-1.5998,0.887434,0.0212326,-0.804715,1.5912,-0.978943,0.0259047,-0.805971,1.58277,-1.03734,-0.0759204,0.182743,0.133527,-1.10994,-0.0758111,0.318476,0.147191,-1.64162,-0.0513938,0.0510029,0.00717392,-0.232686,-0.0507327,-0.0612612,0.031687,0.242397,-0.126834,0.129051,0.382207,-0.335949,0.234275,0.109972,0.454602,-0.234676,0.0634817,-0.113921,-0.481123,0.264086,-0.00458605,-0.139115,-0.482705,0.0686527,
0.0394199,-0.0484456,0.0138389,0,0,-1,0,0,0,0.0244257,0.790057,-1.60242,0.973651,0.0291459,0.792082,-1.59868,0.874478,0.0207843,-0.804305,1.59128,-0.981098,0.0254635,-0.806429,1.58296,-1.03559,-0.0842198,0.178654,0.104904,-1.07377,-0.0839047,0.303219,0.132485,-1.59755,-0.0602703,0.0340366,0.0382587,-0.301273,-0.0591721,-0.054035,0.0159311,0.198994,-0.124475,0.126301,0.389308,-0.334992,0.232027,0.100119,0.452603,-0.237919,0.0601363,-0.118804,-0.488009,0.267447,-0.00418556,-0.135468,-0.480411,0.0732631,
0.0404077,-0.0369581,0.0140205,0,0,-1,0,0,0,0.0237194,0.79141,-1.6018,0.965716,0.0284399,0.794406,-1.59781,0.862352,0.0202783,-0.803982,1.59133,-0.983271,0.0249581,-0.806837,1.58302,-1.03415,-0.0922044,0.148194,0.0638435,-0.89487,-0.092227,0.267773,0.0967442,-1.41096,-0.0670969,0.0362685,-0.000785788,-0.262233,-0.0670937,-0.0476859,-0.000738613,0.163495,-0.121689,0.123967,0.398443,-0.330244,0.231702,0.0919601,0.453225,-0.237794,0.0550676,-0.118912,-0.495932,0.274976,-0.00233283,-0.129897,-0.473952,0.0842484,
0.0361988,-0.0295364,0.0141602,0,0,-1,0,0,0,0.0229671,0.792325,-1.6013,0.959503,0.0276916,0.796251,-1.59706,0.852186,0.0197292,-0.803888,1.59151,-0.985261,0.0244117,-0.807184,1.58294,-1.03298,-0.0950169,0.0867454,0.0507635,-0.65196,-0.0944292,0.194227,0.0896363,-1.1313,-0.0688984,-0.00407095,0.0150821,-0.183252,-0.0685812,-0.0391574,-0.0177765,0.129797,-0.123153,0.118692,0.403635,-0.342461,0.23247,0.0803999,0.455469,-0.250061,0.0547514,-0.123413,-0.494923,0.256374,-0.00318546,-0.13194,-0.474001,0.0658163,
0.0278922,-0.0238233,0.013686,0,0,-1,0,0,0,0.0222133,0.792808,-1.60097,0.955217,0.0269408,0.797517,-1.59634,0.844166,0.0191814,-0.804091,1.59157,-0.985992,0.0238667,-0.807456,1.58273,-1.03208,-0.092327,0.0486185,0.0142208,-0.429632,-0.0924603,0.128463,0.0939331,-0.903271,-0.0672708,-0.0452724,0.00761746,-0.0239341,-0.0671239,-0.0297734,-0.0336328,0.100826,-0.125099,0.119513,0.408642,-0.342322,0.234561,0.0812783,0.458786,-0.248301,0.0521154,-0.121343,-0.494738,0.2579,-0.00135156,-0.133273,-0.471671,0.061732,
0.0182541,-0.0207932,0.0110532,0,0,-1,0,0,0,0.0214537,0.79297,-1.60071,0.952187,0.0261813,0.798362,-1.59549,0.837275,0.0186178,-0.804594,1.59166,-0.985688,0.0233022,-0.80766,1.58238,-1.03133,-0.0855062,0.00692321,0.0172256,-0.27582,-0.0855495,0.076446,0.103324,-0.73794,-0.064872,-0.0761288,0.0143467,0.0801966,-0.0651759,-0.0218957,-0.0468692,0.0769501,-0.126326,0.115675,0.411315,-0.347172,0.237566,0.0793391,0.461057,-0.254809,0.0525979,-0.117465,-0.49123,0.245943,-0.00276296,-0.137062,-0.466891,0.045158,
0.0101727,-0.0204736,0.00744319,0,0,-1,0,0,0,0.0208019,0.792861,-1.60047,0.950377,0.0255287,0.798827,-1.59464,0.831838,0.0181064,-0.805339,1.59181,-0.984783,0.0227885,-0.807821,1.58198,-1.03079,-0.0776552,-0.0243224,0.0312066,-0.179627,-0.0780223,0.044895,0.108963,-0.635867,-0.0632301,-0.0959635,0.0241462,0.135424,-0.063586,-0.0168583,-0.0529251,0.0605198,-0.126905,0.115791,0.411526,-0.348668,0.237842,0.0815233,0.460871,-0.252193,0.0552998,-0.113104,-0.488553,0.241967,-0.00417765,-0.138019,-0.456638,0.0412711,
0.00534857,-0.0220579,0.00459678,0,0,-1,0,0,0,0.0202801,0.792639,-1.60025,0.949381,0.0250049,0.799078,-1.59387,0.827612,0.0176679,-0.806046,1.59202,-0.983741,0.0223473,-0.807931,1.58161,-1.03041,-0.0725591,-0.0373849,0.032158,-0.114446,-0.0727248,0.0298746,0.111301,-0.580132,-0.0626728,-0.104309,0.0349525,0.155917,-0.0630476,-0.0149821,-0.0515919,0.0497064,-0.126241,0.116909,0.411749,-0.350436,0.236818,0.0835726,0.459227,-0.248091,0.0587239,-0.107783,-0.487253,0.239543,-0.00615533,-0.137059,-0.445087,0.0426744,
