joint_tau_cal_0,joint_tau_cal_1,joint_tau_cal_2,joint_tau_cal_3,joint_tau_cal_4,joint_tau_cal_5,joint_tau_cal_6,joint_tau_cal_7,joint_tau_cal_8,joint_tau_cal_9,joint_tau_cal_10,joint_tau_cal_11,joint_tau_cal_12,joint_tau_cal_13,joint_tau_cal_14,joint_tau_cal_15,joint_tau_est_0,joint_tau_est_1,joint_tau_est_2,joint_tau_est_3,joint_tau_est_4,joint_tau_est_5,joint_tau_est_6,joint_tau_est_7,joint_tau_est_8,joint_tau_est_9,joint_tau_est_10,joint_tau_est_11,joint_tau_est_12,joint_tau_est_13,joint_tau_est_14,joint_tau_est_15,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_12,joint_pos_target_13,joint_pos_target_14,joint_vel_3,joint_vel_7,joint_vel_11,joint_vel_15,joint_vel_target_3,joint_vel_target_7,joint_vel_target_11,joint_vel_target_15,
-8.26861,15.832,40.0711,-0.228097,24.7978,2.86271,51.3522,-2.50098,-6.88676,-18.6678,-56.6722,0.149774,9.15666,-23.1983,-67.6121,0.46934,1.14176,7.56929,32.0072,-0.0160069,-0.807514,7.63594,31.6504,-0.0470394,0.907833,-7.4,-32.6771,0.123441,-1.05848,-8.08131,-33.1274,0.19819,-0.00294597,0.766531,-1.64997,0.00196276,0.767024,-1.64969,-0.00218513,-0.767004,1.65223,0.00282673,-0.765307,1.65276,-0.0718172,0.898797,-1.3174,0.208643,0.790446,-1.22189,-0.0596101,-0.92251,1.1801,0.079048,-0.958613,1.08998,0.0279974,0.0245331,-0.0613863,-0.103467,-0.2001,-2.47645,0.0883876,0.365873,
-8.43656,15.906,39.9024,-0.164021,24.4873,2.8794,51.383,-2.49958,-7.06963,-18.6714,-56.5804,0.111753,8.9784,-23.3029,-67.3267,0.395786,-8.26936,15.9037,39.9119,-0.19827,24.7974,2.868,51.3502,-2.50351,-6.88576,-18.6712,-56.6697,0.149593,9.15447,-23.1961,-67.6271,0.474108,-0.00292054,0.766521,-1.64997,0.00200777,0.766999,-1.6497,-0.00216163,-0.767,1.65222,0.00284864,-0.765299,1.65277,-0.0718172,0.898797,-1.3174,0.208643,0.790446,-1.22189,-0.0596101,-0.92251,1.1801,0.079048,-0.958613,1.08998,-0.0360788,0.0231365,-0.0233653,-0.0299121,-0.2001,-2.47645,0.0883876,0.365873,
-11.6238,17.2609,43.46,0.122628,21.3866,6.11555,47.1676,-2.48165,-5.31042,-19.8993,-57.6369,-0.170854,3.12009,-22.8819,-59.9895,-0.301014,-9.98295,15.6386,40.3436,0.0923646,23.0747,3.64511,50.6831,-2.47948,-8.45523,-18.2488,-56.4187,-0.161275,7.58319,-23.1804,-66.1321,-0.108922,-0.0011993,0.766732,-1.65038,0.00376823,0.766154,-1.64907,-0.000605083,-0.767393,1.65199,0.0044156,-0.765254,1.65132,-0.0843791,0.912439,-1.29163,0.195691,0.810488,-1.25071,-0.032383,-0.936531,1.1697,0.0428782,-0.956162,1.14014,-0.3163,-0.00103039,0.272947,0.519512,-0.193672,-2.48268,0.102093,0.218498,
-12.0677,17.053,46.1401,0.535084,17.1684,8.90273,42.0854,-2.12085,-4.76697,-20.4881,-56.3102,-0.630749,-2.65236,-20.9133,-48.6306,-1.03712,-12.9806,17.0578,43.7001,0.511078,20.0376,6.78136,46.5461,-2.26099,-6.54451,-19.4551,-56.9058,-0.588693,1.90279,-22.6939,-58.3594,-0.865032,0.00400282,0.767476,-1.65157,0.00896307,0.763631,-1.64695,0.00414973,-0.768773,1.65063,0.00912288,-0.765554,1.64649,-0.0761802,0.912466,-1.27136,0.172367,0.827848,-1.28758,-0.0170408,-0.945348,1.17421,0.00544636,-0.941414,1.22035,-0.727043,-0.236435,0.714699,1.1132,-0.191958,-2.35728,0.0839507,0.0760774,
-11.2893,17.147,46.3249,0.853458,15.0794,9.57196,39.1321,-1.69441,-2.96252,-20.1187,-52.3929,-1.08592,-4.52162,-19.446,-41.1223,-1.6212,-12.391,17.0601,45.9557,0.847675,16.8551,9.14735,41.7971,-1.78837,-4.98671,-20.1714,-55.2796,-1.03205,-2.86228,-20.5885,-47.4045,-1.4085,0.00961215,0.768206,-1.65244,0.0145402,0.760789,-1.64439,0.00917438,-0.770638,1.64759,0.0140935,-0.766337,1.63972,-0.0669166,0.913152,-1.26816,0.157649,0.831276,-1.30966,-0.000155872,-0.945051,1.19768,-0.00836619,-0.932077,1.27207,-1.05418,-0.588703,1.1389,1.505,-0.200725,-2.28311,0.0529809,-0.116203,
-10.0406,16.9658,44.5919,1.10457,14.8988,9.54107,38.3163,-1.31123,-0.90615,-19.4677,-47.9703,-1.47243,-4.68782,-17.7381,-36.1362,-2.00069,-11.2188,17.2341,45.9086,1.09703,15.1535,9.66118,38.9726,-1.42042,-2.77996,-19.8462,-51.3268,-1.4272,-4.33406,-19.058,-40.1447,-1.8681,0.0139688,0.768613,-1.65239,0.0188622,0.758366,-1.64208,0.0128437,-0.772673,1.64294,0.0177173,-0.76774,1.63224,-0.057175,0.91087,-1.27889,0.15545,0.830238,-1.31506,0.0153238,-0.942031,1.22508,-0.0114506,-0.921281,1.30498,-1.31246,-0.877847,1.49969,1.76545,-0.207882,-2.18908,0.0272569,-0.235237,
-9.23983,16.692,42.575,1.28291,14.835,9.83686,37.7993,-0.935046,0.680052,-18.6482,-44.2105,-1.66744,-4.58371,-16.3312,-32.4824,-2.13668,-10.0325,16.9507,44.288,1.27016,14.9051,9.5968,38.0908,-1.09832,-0.809007,-19.23,-47.1379,-1.64383,-4.58979,-17.4243,-35.3055,-2.13452,0.0169434,0.768802,-1.6515,0.0218138,0.756479,-1.64,0.0151144,-0.774692,1.63771,0.0199562,-0.76948,1.62504,-0.0505721,0.908569,-1.2927,0.154852,0.832216,-1.31735,0.0276719,-0.937301,1.24902,-0.0114659,-0.912341,1.32805,-1.49217,-1.10454,1.68011,1.90717,-0.209257,-2.03959,0.0126725,-0.229505,
-8.87108,16.5595,40.8799,1.42238,14.3838,10.4367,36.86,-0.565243,1.52553,-17.862,-41.3733,-1.81542,-4.64486,-15.1963,-29.4244,-2.15577,-9.35816,16.7186,42.1119,1.4131,14.7173,9.85673,37.4507,-0.727388,0.625627,-18.3806,-43.446,-1.80081,-4.63342,-16.0417,-31.689,-2.21813,0.0194603,0.768938,-1.64993,0.0243154,0.754883,-1.63766,0.0169018,-0.776829,1.63168,0.0217088,-0.771541,1.61746,-0.0464649,0.907228,-1.30271,0.152126,0.837053,-1.32207,0.0351954,-0.933121,1.26589,-0.0115384,-0.905447,1.34653,-1.62986,-1.32478,1.82184,1.99319,-0.207484,-1.89002,0.00642095,-0.16258,
-8.91616,16.3815,39.3237,1.53799,13.7631,11.0423,35.8952,-0.264854,1.86654,-16.9519,-39.3284,-1.9101,-4.78758,-14.4675,-27.7402,-2.07759,-9.00983,16.5227,40.4699,1.52515,14.2465,10.3859,36.5449,-0.397421,1.43836,-17.6202,-40.8527,-1.90472,-4.73041,-14.9423,-28.9645,-2.16001,0.0214137,0.769034,-1.64801,0.0262575,0.753916,-1.63555,0.0181818,-0.778662,1.62668,0.0229632,-0.773347,1.6115,-0.0456072,0.906085,-1.312,0.148173,0.842563,-1.32728,0.038803,-0.927707,1.27827,-0.011982,-0.901568,1.35629,-1.74097,-1.50503,1.91769,1.99872,-0.202983,-1.76989,0.00759111,-0.0788668,
-9.03056,15.8768,37.536,1.69735,13.1189,11.4842,34.8712,0.0320561,2.17165,-15.9896,-37.3581,-1.99051,-4.9627,-13.801,-25.9328,-1.98213,-9.03038,16.2717,38.8643,1.68238,13.655,10.856,35.6152,-0.0864873,1.80872,-16.6538,-38.772,-1.99011,-4.84348,-14.2159,-27.1623,-2.06683,0.0232892,0.769299,-1.6455,0.0281135,0.753264,-1.63285,0.0195332,-0.780982,1.62081,0.0242838,-0.775565,1.60472,-0.045554,0.902863,-1.3228,0.14376,0.847812,-1.33316,0.0418497,-0.922332,1.28978,-0.012948,-0.898251,1.36628,-1.89383,-1.69567,2.00252,1.98747,-0.196476,-1.66361,0.0120016,0.00533566,
-9.29204,15.3269,35.818,1.82924,12.6215,11.9712,33.8959,0.309909,2.38129,-14.8411,-35.536,-1.98729,-5.00082,-13.1787,-25.0515,-1.8401,-9.0725,15.7228,37.0562,1.81349,13.081,11.2822,34.4737,0.200975,2.16153,-15.7062,-36.9258,-1.99468,-4.97037,-13.4774,-25.6423,-1.92928,0.0248745,0.769802,-1.64259,0.029756,0.7532,-1.63005,0.0206137,-0.783392,1.61538,0.0252839,-0.777876,1.59903,-0.0473778,0.89965,-1.33284,0.139939,0.853687,-1.33778,0.0436779,-0.91526,1.30111,-0.0132047,-0.895912,1.37109,-2.01778,-1.87407,2.00744,1.93347,-0.188545,-1.56416,0.0201444,0.0933753,
-9.54487,14.5457,33.86,1.96068,12.2927,12.1835,33.21,0.570204,2.61856,-13.597,-33.7144,-1.96185,-5.02018,-12.4784,-24.5851,-1.75269,-9.26238,15.1446,35.2955,1.94361,12.6493,11.6589,33.5955,0.469917,2.42012,-14.5984,-35.1646,-1.97233,-4.96152,-12.85,-24.8287,-1.81363,0.0261456,0.77052,-1.63912,0.0309207,0.753728,-1.62737,0.0213364,-0.785624,1.61062,0.0260413,-0.780175,1.59383,-0.049745,0.894781,-1.34454,0.136954,0.858242,-1.34083,0.0453116,-0.907058,1.31302,-0.0137128,-0.892825,1.37264,-2.13911,-2.04424,1.992,1.91451,-0.178428,-1.47404,0.0301463,0.161815,
