obs_angvel_0,obs_angvel_1,obs_angvel_2,obs_gravity_0,obs_gravity_1,obs_gravity_2,obs_command_0,obs_command_1,obs_command_2,obs_dofpos_0,obs_dofpos_1,obs_dofpos_2,obs_dofpos_3,obs_dofpos_4,obs_dofpos_5,obs_dofpos_6,obs_dofpos_7,obs_dofpos_8,obs_dofpos_9,obs_dofpos_10,obs_dofpos_11,obs_dofpos_12,obs_dofpos_13,obs_dofpos_14,obs_dofpos_15,obs_dofvel_0,obs_dofvel_1,obs_dofvel_2,obs_dofvel_3,obs_dofvel_4,obs_dofvel_5,obs_dofvel_6,obs_dofvel_7,obs_dofvel_8,obs_dofvel_9,obs_dofvel_10,obs_dofvel_11,obs_dofvel_12,obs_dofvel_13,obs_dofvel_14,obs_dofvel_15,obs_action_0,obs_action_1,obs_action_2,obs_action_3,obs_action_4,obs_action_5,obs_action_6,obs_action_7,obs_action_8,obs_action_9,obs_action_10,obs_action_11,obs_action_12,obs_action_13,obs_action_14,obs_action_15,
0.00198889,-0.00318839,9.08459e-05,0,0,-1,0,0,0,0.0763764,-0.60092,0.564394,-1.01263,-0.076653,-0.601413,0.564113,8.17097,0.0757511,-0.601733,0.562848,-8.34153,-0.0756168,-0.60217,0.562223,-1.94561,-5.82411e-05,-0.0127631,-0.00251488,-0.00179719,-0.000120024,-0.0131979,-0.00229723,-0.000506998,0.000455441,-0.00622377,-0.0123711,-0.00184649,-0.00140923,-0.00646973,-0.0124105,-0.000686678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0023072,-0.00351919,4.53331e-06,0,0,-1,0,0,0,0.0763749,-0.601547,0.564278,-1.01272,-0.0766569,-0.602062,0.563999,8.17095,0.075772,-0.602034,0.562221,-8.34162,-0.0756377,-0.602482,0.5616,-1.94565,2.77751e-06,-0.0137492,-0.00224466,-0.00193688,-3.38901e-05,-0.0141599,-0.00234244,-0.000121013,0.000438207,-0.00632615,-0.0135329,-0.00219732,0.000403389,-0.00667193,-0.0135701,-0.000681378,-0.520851,0.337607,1.31628,0.0608028,0.370037,0.212274,1.11032,0.0138859,-0.735823,0.128262,1.49917,-0.63022,0.828195,0.231208,1.67874,-0.169244,
-0.0694236,0.0205501,0.0084565,0,0,-1,0,0,0,0.0768527,-0.601958,0.564627,-1.01417,-0.0761807,-0.602658,0.564586,8.16995,0.0762925,-0.602281,0.56342,-8.34577,-0.0750384,-0.602671,0.562901,-1.94981,0.0454433,-0.0609033,0.0584879,-0.129318,0.0509495,-0.0439154,0.082418,-0.203702,0.0511646,-0.0663114,0.211783,-0.471342,0.0674902,-0.00526406,0.218725,-0.661955,-0.533096,0.160463,1.50996,-0.145803,0.414179,0.25631,1.11089,-0.179934,-0.562604,-0.0840042,1.40854,-0.93323,0.799551,0.277291,1.87174,-0.489089,
-0.158818,0.0291826,0.0156856,0,0,-1,0,0,0,0.0786074,-0.604551,0.567007,-1.0163,-0.074198,-0.60376,0.567976,8.1613,0.0781629,-0.605306,0.571267,-8.35886,-0.0725823,-0.602746,0.571113,-1.97395,0.119107,-0.196972,0.176598,-0.0413136,0.135411,-0.0574878,0.241889,-0.627618,0.127468,-0.212235,0.50156,-0.74447,0.165737,-0.000258049,0.532859,-1.53503,-0.53872,0.132205,1.54929,-0.0681812,0.402704,0.287689,1.09575,-0.163802,-0.467495,-0.0902698,1.22966,-0.852922,0.714035,0.302518,1.89026,-0.365073,
-0.153946,0.0289044,0.0166399,0,0,-1,0,0,0,0.0812321,-0.609988,0.572534,-1.01645,-0.0710466,-0.605061,0.574525,8.14452,0.081065,-0.610795,0.583486,-8.37568,-0.0686431,-0.602875,0.584318,-2.00924,0.119232,-0.291624,0.343315,0.000138738,0.146443,-0.0642474,0.390048,-0.879551,0.130139,-0.274652,0.660355,-0.823444,0.178618,-0.0116585,0.683668,-1.77106,-0.559911,0.141886,1.58137,0.028728,0.398199,0.291011,1.05239,-0.0795531,-0.410708,-0.0733861,1.12659,-0.744607,0.674011,0.306678,1.77979,-0.075321,
-0.0709903,0.03621,0.0166618,0,0,-1,-0,-0,-0,0.0831241,-0.616501,0.581297,-1.01645,-0.0685538,-0.606473,0.584016,8.12525,0.0831953,-0.616436,0.598616,-8.39245,-0.0654774,-0.603319,0.598667,-2.0446,0.0481344,-0.335793,0.503428,-5.9266e-05,0.0879681,-0.0663744,0.500779,-0.917509,0.0650671,-0.266863,0.727505,-0.792003,0.114097,-0.0363623,0.691455,-1.50256,-0.573017,0.161867,1.54833,0.0664888,0.394178,0.268697,1.01508,-0.0376436,-0.383779,-0.077682,1.07185,-0.687103,0.656245,0.281416,1.65757,0.146469,
0.0116965,0.0402921,0.0179421,0,0,-1,-0,-0,-0,0.0833274,-0.623877,0.593177,-1.01645,-0.0674391,-0.60788,0.595532,8.10683,0.083812,-0.621706,0.613975,-8.40844,-0.063849,-0.604444,0.612599,-2.07162,-0.0215393,-0.341754,0.608984,-0.000238832,0.0218712,-0.0689273,0.556746,-0.814157,-0.000188714,-0.236187,0.723406,-0.67614,0.0476452,-0.0746876,0.627577,-0.978965,-0.579189,0.176772,1.45871,0.0644737,0.398833,0.225518,0.995506,-0.0475793,-0.385541,-0.10295,1.01684,-0.665919,0.648496,0.235113,1.56748,0.237788,
0.0483676,0.032436,0.0196773,0,0,-1,-0,-0,-0,0.0824626,-0.630908,0.606991,-1.01649,-0.0673569,-0.609379,0.607599,8.09117,0.0834612,-0.626476,0.628998,-8.42126,-0.0632213,-0.606439,0.625429,-2.08694,-0.0478324,-0.303855,0.625194,-0.00699834,-0.005512,-0.072237,0.553246,-0.629688,-0.0193849,-0.178718,0.611355,-0.456698,0.0207003,-0.1141,0.539798,-0.458313,-0.59288,0.181904,1.3535,0.0315294,0.415364,0.176597,0.982441,-0.0794521,-0.414149,-0.137177,0.950532,-0.669453,0.653103,0.183891,1.51109,0.221866,
0.0479144,0.0256789,0.0201311,0,0,-1,-0,-0,-0,0.0814394,-0.636545,0.619541,-1.01699,-0.0675229,-0.610902,0.618661,8.0803,0.0829691,-0.630435,0.642092,-8.42967,-0.0628487,-0.609105,0.635855,-2.09203,-0.0455348,-0.228524,0.556621,-0.0436625,-0.00772249,-0.0736457,0.490338,-0.398029,-0.0165596,-0.159953,0.530638,-0.351822,0.0175908,-0.146407,0.455052,-0.063678,-0.622312,0.162185,1.27597,-0.0355189,0.434435,0.13429,0.961071,-0.101724,-0.458767,-0.176894,0.870543,-0.691102,0.678969,0.133629,1.47531,0.152601,
0.0434445,0.0297167,0.0197734,0,0,-1,-0,-0,-0,0.0807018,-0.639554,0.627532,-1.01796,-0.0677046,-0.611982,0.62588,8.0754,0.082597,-0.633214,0.650471,-8.43331,-0.062625,-0.611326,0.642612,-2.09215,-0.046798,-0.160638,0.470072,-0.0746088,-0.0154714,-0.066919,0.407899,-0.211021,-0.0195041,-0.156068,0.539681,-0.0829069,0.00925498,-0.114414,0.391074,-0.00028239,-0.664834,0.113193,1.23971,-0.142755,0.443609,0.119678,0.92982,-0.0877528,-0.512647,-0.213463,0.770138,-0.703565,0.735137,0.097107,1.46531,0.0747406,
