joint_tau_cal_0,joint_tau_cal_1,joint_tau_cal_2,joint_tau_cal_3,joint_tau_cal_4,joint_tau_cal_5,joint_tau_cal_6,joint_tau_cal_7,joint_tau_cal_8,joint_tau_cal_9,joint_tau_cal_10,joint_tau_cal_11,joint_tau_cal_12,joint_tau_cal_13,joint_tau_cal_14,joint_tau_cal_15,joint_tau_est_0,joint_tau_est_1,joint_tau_est_2,joint_tau_est_3,joint_tau_est_4,joint_tau_est_5,joint_tau_est_6,joint_tau_est_7,joint_tau_est_8,joint_tau_est_9,joint_tau_est_10,joint_tau_est_11,joint_tau_est_12,joint_tau_est_13,joint_tau_est_14,joint_tau_est_15,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_12,joint_pos_target_13,joint_pos_target_14,joint_vel_3,joint_vel_7,joint_vel_11,joint_vel_15,joint_vel_target_3,joint_vel_target_7,joint_vel_target_11,joint_vel_target_15,
-13.472,6.82354,27.7561,0.152926,10.467,4.33774,23.6481,0.0345104,-17.7476,2.65104,31.5042,-1.5742,19.5893,4.72804,35.1205,-0.422727,-45.8221,1.03725,21.4452,0.00819739,45.9914,1.34891,21.6139,0.00509587,-45.4636,1.2766,22.7644,0.0119104,45.3869,1.54724,23.1382,0.00318723,0.076375,-0.601615,0.564267,-0.0766571,-0.602132,0.563987,0.0757743,-0.602065,0.562147,-0.07564,-0.602515,0.561525,-0.260425,-0.431196,1.25814,0.185019,-0.493863,1.15516,-0.367911,-0.535869,1.34959,0.414097,-0.484396,1.43937,-0.00183778,0.000408501,-0.00269727,-0.00076369,0.304014,0.0694293,-3.1511,-0.846218,
-13.7359,3.27588,31.6245,-0.327653,11.3327,5.23061,23.6449,-0.44931,-14.3043,-1.60322,29.6711,-2.25877,18.9965,5.65438,38.9539,-1.17475,-13.4925,6.81884,27.7522,0.184339,10.4487,4.34878,23.6342,0.0351765,-17.7701,2.64258,31.4877,-1.51195,19.5684,4.73205,35.0971,-0.380646,0.0765577,-0.601645,0.564265,-0.0765049,-0.602251,0.564072,0.0759495,-0.60204,0.562142,-0.075465,-0.602561,0.561577,-0.266548,-0.519768,1.35498,0.207089,-0.471845,1.15544,-0.281302,-0.642002,1.30427,0.399776,-0.461355,1.53587,-0.0737078,-0.00105162,-0.148607,-0.0959485,-0.729015,-0.899672,-4.66615,-2.44544,
-13.8902,2.78387,32.3447,-0.0995576,11.0543,5.89605,23.2536,-0.257779,-12.4486,-1.64038,25.8538,-1.84059,17.2196,6.16175,39.0804,-0.450699,-13.7758,3.34566,31.561,-0.294273,11.2861,5.26693,23.5602,-0.302842,-14.3485,-1.51954,29.4417,-2.04628,18.933,5.65688,38.7206,-0.773369,0.0771252,-0.602347,0.564987,-0.0758743,-0.6029,0.56509,0.0765996,-0.602735,0.564725,-0.0746309,-0.602698,0.564246,-0.26936,-0.533898,1.37464,0.201352,-0.456155,1.14787,-0.233748,-0.645135,1.21483,0.357018,-0.448741,1.54513,-0.141791,-0.30345,-0.583427,-0.923968,-0.340906,-0.819008,-4.26461,-1.82537,
-14.4335,3.18321,32.7982,0.0796489,10.8279,6.01387,22.1361,0.164818,-11.4379,-1.08285,23.2943,-1.46569,16.2568,6.24389,36.3394,0.659768,-14.0065,2.98339,32.1624,-0.161497,10.9217,5.94608,23.0108,-0.0493782,-12.5703,-1.42685,25.37,-1.7392,17.0618,6.16062,38.5639,-0.0724524,0.0792384,-0.60574,0.568084,-0.0734782,-0.604085,0.569291,0.0788374,-0.60657,0.573936,-0.0717043,-0.602748,0.573953,-0.279956,-0.529057,1.39068,0.1991,-0.454494,1.1262,-0.205354,-0.636693,1.16329,0.337005,-0.446661,1.48989,-0.0156579,-0.727403,-0.79165,-1.69614,0.14364,-0.397766,-3.72303,-0.376605,
-14.7875,3.85053,31.7994,0.166212,10.6269,5.62133,21.0169,0.365359,-11.0038,-0.927582,21.6033,-1.30017,15.7502,5.75058,33.288,1.25986,-14.5237,3.44401,32.4699,0.0717481,10.7098,6.06632,21.7733,0.259408,-11.5405,-0.847357,22.7131,-1.44491,16.1086,6.2557,35.7472,0.704508,0.0818035,-0.611489,0.574366,-0.0703319,-0.605383,0.576781,0.0816917,-0.612178,0.58721,-0.0677703,-0.60293,0.587792,-0.286508,-0.519067,1.37417,0.197089,-0.465652,1.10754,-0.19189,-0.638841,1.13593,0.328123,-0.459292,1.42879,1.92114e-05,-0.918937,-0.835182,-1.78738,0.332444,-0.188218,-3.43552,0.732345,
-14.9301,4.44186,29.535,0.161179,10.6683,4.81336,20.1742,0.338915,-11.0727,-1.21582,19.8786,-1.27259,15.5208,4.86132,30.9111,1.30545,-14.8071,4.1366,31.3402,0.166206,10.5757,5.67578,20.5772,0.363534,-11.0375,-0.715015,20.9938,-1.32569,15.6767,5.78676,32.7262,1.08097,0.0833093,-0.618371,0.584186,-0.0681638,-0.606768,0.586842,0.0834909,-0.617874,0.602274,-0.0649594,-0.603522,0.602441,-0.289594,-0.511614,1.32935,0.199417,-0.487241,1.09775,-0.192771,-0.651475,1.10842,0.324248,-0.482443,1.38374,1.06355e-05,-0.915727,-0.78441,-1.42196,0.322368,-0.237897,-3.32959,1.18894,
-15.1679,4.83041,26.8791,0.0789345,10.9968,3.89418,19.4328,0.195822,-11.6286,-1.70963,17.9499,-1.34838,15.59,3.90994,29.2685,0.987596,-14.8953,4.7212,28.9968,0.16121,10.6658,4.8714,19.7058,0.276312,-11.0572,-1.02886,19.29,-1.33839,15.498,4.93273,30.4072,1.03281,0.0831843,-0.625578,0.596899,-0.0673628,-0.60822,0.598338,0.0837803,-0.623078,0.617572,-0.0636275,-0.604829,0.616288,-0.29644,-0.509048,1.27675,0.207682,-0.511702,1.09122,-0.207074,-0.668589,1.07527,0.326551,-0.508054,1.35555,-0.000222094,-0.788904,-0.650511,-0.865863,0.157647,-0.397261,-3.34727,1.10933,
-15.7103,4.68411,24.8054,-0.0821696,11.3885,3.11012,18.5338,0.0404127,-12.4993,-2.35572,15.8228,-1.51685,16.095,3.0124,28.1241,0.56063,-15.1221,5.07365,26.3679,0.0850696,11.0063,3.95505,18.9721,0.0978418,-11.604,-1.54084,17.3785,-1.41446,15.5783,4.01561,28.8488,0.738597,0.0822164,-0.63239,0.610103,-0.0673951,-0.609734,0.610348,0.0833464,-0.627458,0.632283,-0.0631251,-0.607023,0.628071,-0.311156,-0.518907,1.23799,0.217218,-0.532855,1.08054,-0.229383,-0.688447,1.03527,0.339484,-0.533186,1.33765,-0.0132554,-0.589448,-0.421815,-0.358257,-0.177595,-0.508622,-3.45551,0.763003,
-16.5238,3.87251,23.6369,-0.329351,11.5787,2.87922,17.5188,-0.0447761,-13.5607,-2.9405,13.3525,-1.60741,17.2038,2.41277,27.5578,0.186956,-15.6735,4.84955,24.3716,-0.0617393,11.3946,3.17032,18.1525,-0.0775828,-12.4782,-2.19141,15.3221,-1.61975,16.0813,3.1407,27.7658,0.381692,0.0812154,-0.63763,0.622262,-0.0675663,-0.611262,0.621057,0.0828679,-0.631316,0.644918,-0.0627604,-0.609983,0.638292,-0.332417,-0.543403,1.21986,0.221805,-0.540161,1.06491,-0.256324,-0.706731,0.985069,0.367569,-0.551446,1.33265,-0.0550711,-0.349212,-0.303005,-0.000209341,-0.713773,-0.438764,-3.51782,0.373703,
-17.5681,2.47163,23.3995,-0.706531,11.4012,3.29812,16.3565,-0.0353207,-14.4806,-3.31865,10.6456,-1.79508,19.0454,1.92309,27.7233,0.0621485,-16.4835,3.956,23.3107,-0.310359,11.5972,2.92573,17.2422,-0.164042,-13.5297,-2.7874,12.9528,-1.75855,17.2014,2.47836,27.2796,0.186973,0.0802331,-0.640959,0.632284,-0.0678844,-0.612628,0.629645,0.0823291,-0.634896,0.655392,-0.0625428,-0.612372,0.646479,-0.359538,-0.580529,1.22223,0.216911,-0.530866,1.04291,-0.27993,-0.719629,0.926588,0.413658,-0.565366,1.3439,-0.094083,-0.106347,-0.0850414,-5.51897e-05,-1.50715,-0.176989,-3.67521,0.124242,
