joint_tau_cal_0,joint_tau_cal_1,joint_tau_cal_2,joint_tau_cal_3,joint_tau_cal_4,joint_tau_cal_5,joint_tau_cal_6,joint_tau_cal_7,joint_tau_cal_8,joint_tau_cal_9,joint_tau_cal_10,joint_tau_cal_11,joint_tau_cal_12,joint_tau_cal_13,joint_tau_cal_14,joint_tau_cal_15,joint_tau_est_0,joint_tau_est_1,joint_tau_est_2,joint_tau_est_3,joint_tau_est_4,joint_tau_est_5,joint_tau_est_6,joint_tau_est_7,joint_tau_est_8,joint_tau_est_9,joint_tau_est_10,joint_tau_est_11,joint_tau_est_12,joint_tau_est_13,joint_tau_est_14,joint_tau_est_15,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_12,joint_pos_target_13,joint_pos_target_14,joint_vel_3,joint_vel_7,joint_vel_11,joint_vel_15,joint_vel_target_3,joint_vel_target_7,joint_vel_target_11,joint_vel_target_15,
-0.143758,-0.936413,0.35232,0,0.150178,-0.926153,0.35034,0,-0.157978,-0.924053,0.3504,0,0.115559,-0.963172,0.35214,0,0.03,-0,-0,-0,-0,0,0,0,0.03,-0,-0,-0.01257,0,0,-0.03,-0.01257,0.2396,0.9607,0.0128,-0.2503,0.9436,0.0161,0.2633,0.9401,0.016,-0.1926,1.0053,0.0131,0.23936,0.959139,0.0133872,-0.25005,0.942057,0.0166839,0.263037,0.93856,0.016584,-0.192407,1.00369,0.0136869,-0,0,-0,0,0,0,0,0,
-0.907557,-3.75851,1.12392,-0.045,0.841085,-3.56192,1.78705,-0.045,-0.902877,-3.60936,1.42739,0,0.633348,-3.96414,1.58784,-0.09,-0.42,-2.28,0.66,-0.01257,0.39,-2.19,1.14,-0.01257,-0.45,-2.34,0.99,-0.01257,0.33,-2.52,0.96,-0.05028,0.2396,0.9585,0.0137,-0.2502,0.9411,0.0164,0.2633,0.938,0.0166,-0.1925,1.0031,0.0136,0.238162,0.951336,0.0163232,-0.248798,0.934339,0.0196034,0.26172,0.930859,0.019504,-0.191444,0.995668,0.0166214,0.01,0.01,-0,0.02,0,0,0,0,
-2.00136,-5.99559,0.260515,0,1.53197,-5.34275,2.15874,-0.135,-1.73778,-5.75466,1.5744,0.135,1.93114,-5.48,2.58354,0,-1.44,-4.5,-0,-0,1.11,-4.02,1.68,-0.05028,-1.26,-4.29,1.02,0.03771,1.41,-4.17,1.83,-0.01257,0.24,0.9548,0.0177,-0.2501,0.9371,0.0181,0.2633,0.9338,0.0192,-0.1931,0.9985,0.0151,0.236964,0.943532,0.0192592,-0.247547,0.926621,0.0225229,0.260404,0.923159,0.022424,-0.190481,0.987642,0.0195559,-0,0.03,-0.03,0,0,0,0,0,
-3.24516,-8.66774,1.43711,0,2.40288,-8.08351,0.700451,0,-2.63267,-7.82498,0.251405,0,3.15396,-7.01098,1.32924,0.225,-2.73,-7.17,0.99,-0,1.95,-6.57,0.24,-0.03771,-2.13,-6.54,0.06,-0.01257,2.58,-5.58,1.2,0.17598,0.2411,0.951,0.0192,-0.2503,0.9332,0.023,0.2634,0.9297,0.0235,-0.1944,0.9928,0.0184,0.235766,0.935729,0.0221952,-0.246295,0.918903,0.0254424,0.259087,0.915458,0.025344,-0.189518,0.979615,0.0224904,-0,0,-0,-0.05,0,0,0,0,
-4.14396,-12.0599,1.66872,0,3.54378,-9.8944,1.11714,0,-3.70758,-10.2103,1.1034,0.315,4.91677,-8.93192,1.49994,0.36,-3.63,-10.44,1.2,0.03771,3.03,-8.55,0.75,0.01257,-3.15,-8.73,0.54,0.20112,4.47,-7.59,0.72,0.23883,0.2414,0.9487,0.0216,-0.2508,0.9294,0.0253,0.2638,0.9259,0.0262,-0.1966,0.9879,0.0227,0.234568,0.927925,0.0251312,-0.245044,0.911185,0.0283619,0.257771,0.907758,0.028264,-0.188555,0.971588,0.0254249,-0,0,-0.07,-0.08,0,0,0,0,
-6.18278,-13.592,2.48531,0.045,4.77469,-12.6352,1.08385,0.81,-5.72747,-11.6356,1.8954,0,5.46454,-12.3677,1.11564,0.27,-5.46,-12.09,2.04,0.03771,4.17,-10.95,0.54,0.5028,-5.13,-10.11,1.35,-0.01257,4.98,-10.62,0.48,0.31425,0.243,0.9445,0.0231,-0.2516,0.9252,0.0288,0.2657,0.9208,0.0275,-0.1967,0.985,0.0256,0.23337,0.920122,0.0280672,-0.243792,0.903467,0.0312814,0.256454,0.900057,0.031184,-0.187592,0.963562,0.0283594,-0.01,-0.18,-0,-0.06,0,0,0,0,
-8.14656,-15.514,1.51692,0.72,5.54058,-15.0909,1.77054,0.135,-6.35238,-12.7609,1.3374,-0.09,5.99734,-11.8887,0.866342,0.54,-7.44,-13.83,1.05,0.64107,5.04,-13.65,1.32,0.11313,-5.82,-11.58,0.93,-0.02514,5.55,-10.68,0.54,0.33939,0.2453,0.9393,0.0275,-0.2517,0.9224,0.0305,0.2658,0.9158,0.0309,-0.1967,0.9779,0.0285,0.232172,0.912318,0.0310032,-0.242541,0.895749,0.0342009,0.255138,0.892357,0.034104,-0.186629,0.955535,0.0312939,-0.16,-0.03,0.02,-0.12,0,0,0,0,
-9.12037,-17.1061,1.80851,0.54,7.35649,-15.7617,2.17225,0.54,-6.70728,-10.7962,1.4244,0,6.18516,-11.7246,0.812037,0.675,-8.49,-15.54,1.32,0.49023,6.66,-14.19,1.62,0.35196,-6.27,-9.78,0.96,-0.01257,5.79,-10.38,0.24,0.54051,0.2461,0.9343,0.0301,-0.2531,0.9158,0.0329,0.2653,0.9058,0.0339,-0.1962,0.9693,0.0322,0.230974,0.904515,0.0339392,-0.241289,0.888031,0.0371204,0.253821,0.884656,0.037024,-0.185666,0.947509,0.0342284,-0.12,-0.12,-0,-0.15,0,0,0,0,
-9.79416,-20.3182,1.9351,0.765,8.46739,-17.5726,0.863936,0.36,-5.38218,-10.6465,0.326397,-0.045,5.18797,-10.0004,0.502739,0.09,-9.18,-18.51,1.35,0.69135,7.86,-15.96,0.54,0.28911,-5.16,-9.54,0.15,-0.03771,5.01,-8.94,0.09,0.07542,0.2461,0.9314,0.0332,-0.254,0.9108,0.0371,0.2626,0.8971,0.0379,-0.1941,0.9593,0.0352,0.229776,0.896711,0.0368752,-0.240038,0.880313,0.0400399,0.252505,0.876956,0.039944,-0.184703,0.939483,0.0371629,-0.17,-0.08,0.01,-0.02,0,0,0,0,
-10.7229,-21.0553,1.65671,0.72,9.18828,-21.1233,-0.0693697,0.315,-4.88208,-9.86676,0.443395,0,4.64074,-10.8413,-0.436565,0.18,-10.05,-19.44,1.32,0.6285,8.58,-19.23,-0.24,0.26397,-4.56,-8.85,0.09,-0.01257,4.32,-9.45,-0.57,0.13827,0.2463,0.9258,0.036,-0.2541,0.9084,0.0418,0.2597,0.8884,0.0413,-0.192,0.9514,0.0397,0.228578,0.888908,0.0398112,-0.238786,0.872595,0.0429594,0.251188,0.869255,0.042864,-0.18374,0.931456,0.0400974,-0.16,-0.07,-0,-0.04,0,0,0,0,
